Designator,Mid X,Mid Y,Rotation,Layer
R52,235.744,215.582,0,top
R53,65.024,184.688,-90,top
R54,65.024,167.589,-90,top
R55,248.92,25.43,90,top
R56,65.024,149.89,-90,top
R57,291.084,130.332,180,top
R58,292.9655,128.046,180,top
R59,43.165,126.997996,0,top
R60,43.261,106.931996,0,top
R61,51.681,119.817998,0,top
R62,50.215,126.675998,0,top
R63,51.739,99.751998,0,top
R64,50.215,106.609998,0,top
R65,51.739,79.785998,0,top
R66,43.261,86.865996,0,top
R67,50.373,86.643998,0,top
R68,263.744,215.676,0,top
R69,235.744,198.818,0,top
R70,239.554,217.614,0,top
R71,74.168,127.538,90,top
R72,74.168,107.472,90,top
R73,242.57,117.2275,90,top
R74,247.904,117.124,-90,top
R75,74.168,86.898,90,top
R76,235.966,12.476,-90,top
R77,267.3,217.708,0,top
R78,239.3,201.104,0,top
R79,243.364,215.582,0,top
R80,270.9595,215.676,0,top
R81,242.856,198.818,0,top
R82,246.666,211.772,90,top
R83,246.666,208.47,90,top
R84,274.158,211.866,90,top
R85,274.158,208.501,90,top
R86,246.412,195.77,90,top
R87,246.412,192.468,90,top
R88,254.9,210.936,-90,top
R89,213.634,196.15,-90,top
R90,282.9,211.058,-90,top
R91,254.9,194.546,-90,top
R92,264.506,194.594,90,top
R93,236.76,178.498,90,top
R94,264.506,178.592,90,top
R95,263.49,199.674,0,top
R96,235.744,183.07,0,top
R97,263.5935,183.418,0,top
R98,43.18,56.672,0,top
R99,43.117,66.07,0,top
R100,43.18,47.02,0,top
R101,50.038,59.974,0,top
R102,50.038,50.576,0,top
R103,50.038,41.178,0,top
R104,43.117,63.022,0,top
R105,43.18,53.624,0,top
R106,43.18,44.226,0,top
R107,50.038,62.768,0,top
R108,50.038,53.624,0,top
R109,50.038,44.226,0,top
R110,270.342,10.439999,90,top
R111,277.464,15.572,0,top
R112,237.998,12.476,90,top
R113,19.006,87.886498,180,top
R114,77.47,19.334,0,top
R115,43.18,37.4635,0,top
R116,50.038,31.272,0,top
R117,43.18,34.4155,0,top
R118,50.038,34.066,0,top
R119,97.536,19.334,0,top
R120,119.126,19.334,0,top
R121,18.400001,21.874,90,top
R122,28.052001,21.928,90,top
R123,37.450001,21.874,90,top
R124,47.102001,21.874,90,top
R125,20.178001,21.874,90,top
R126,29.830001,21.928,90,top
R127,39.228001,21.874,90,top
R128,48.880001,21.874,90,top
R129,103.546001,22.639001,180,top
R130,145.338,22.639001,180,top
R131,83.444,32.74,0,top
R132,130.352,35.085001,0,top
R133,76.966,39.344,0,top
R134,76.966,44.932,0,top
R135,83.444,26.898,0,top
R136,113.271,35.085001,0,top
R137,148.566,207.909,0,top
R138,174.474,207.909,0,top
R139,200.2785,207.909,0,top
R140,164.3,196.1,-90,top
R141,139.952,196,-90,top
R142,189.764,196,-90,top
R143,148.554,176.403,180,top
R144,135.6,176.418,180,top
R145,161,176.373,180,top
R146,159.229001,22.531998,90,top
R147,168.881001,22.531998,90,top
R148,178.533001,22.531998,90,top
R149,161.007001,22.531998,90,top
