Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C162;0,1uF;C_0402_1005Metric;67.564;153.95;0;top
C163;0,1uF;C_0402_1005Metric;191.032;160.566;0;top
C164;0,1uF;C_0402_1005Metric;247.674;147.81;0;top
C165;0,1uF;C_0402_1005Metric;45.466;202.151;0;top
C166;0,1uF;C_0402_1005Metric;70.64;123.478;180;top
C167;0,1uF;C_0402_1005Metric;274.158;165.25;0;top
C168;0,1uF;C_0402_1005Metric;66.998;127.472;0;top
C169;0,1uF;C_0402_1005Metric;67.31;202.21;0;top
C170;0,1uF;C_0402_1005Metric;70.386;103.412;180;top
C171;0,1uF;C_0402_1005Metric;219.58;145.959;0;top
C172;0,1uF;C_0402_1005Metric;66.898;107.472;0;top
C173;0,1uF;C_0402_1005Metric;238.764;206.95;180;top
C174;0,1uF;C_0402_1005Metric;211.706;155.459;180;top
C175;0,1uF;C_0402_1005Metric;92.738;200.06;0;top
C176;0,1uF;C_0402_1005Metric;70.33;82.838;180;top
C177;0,1uF;C_0402_1005Metric;192.048;179.001;0;top
C178;0,1uF;C_0402_1005Metric;66.698;87.472;0;top
C179;0,1uF;C_0402_1005Metric;266.538;207.04;180;top
C180;0,1uF;C_0402_1005Metric;264.518;140.746;180;top
C181;0,1uF;C_0402_1005Metric;118.492;200.06;0;top
C182;0,1uF;C_0402_1005Metric;246.666;214.058;0;top
C183;0,1uF;C_0402_1005Metric;219.58;162.571;0;top
C184;0,1uF;C_0402_1005Metric;238.538;190.944;180;top
C185;0,1uF;C_0402_1005Metric;211.03;172.157;180;top
C186;0,1uF;C_0402_1005Metric;266.538;191.038;180;top
C187;0,1uF;C_0402_1005Metric;142.266;200.06;0;top
C188;0,1uF;C_0402_1005Metric;274.412;214.152;0;top
C189;0,1uF;C_0402_1005Metric;274.412;148.112;0;top
C190;0,1uF;C_0402_1005Metric;215.166;207.04;0;top
C191;0,1uF;C_0402_1005Metric;238.792;174.692;180;top
C192;0,1uF;C_0402_1005Metric;217.932;190.816;180;top
C193;0,1uF;C_0402_1005Metric;166.766;200.06;0;top
C194;0,1uF;C_0402_1005Metric;246.412;198.056;0;top
C195;0,1uF;C_0402_1005Metric;218.904;179.269;0;top
C196;0,1uF;C_0402_1005Metric;266.538;175.036;180;top
C197;0,1uF;C_0402_1005Metric;242.348;156.976;180;top
C198;0,1uF;C_0402_1005Metric;183.44;153.454;180;top
C199;0,1uF;C_0402_1005Metric;192.224;199.814;0;top
C200;0,1uF;C_0402_1005Metric;274.412;198.15;0;top
C201;0,1uF;C_0402_1005Metric;222.094;214.028;0;top
C202;0,1uF;C_0402_1005Metric;242.114;140.698;180;top
C203;0,1uF;C_0402_1005Metric;266.284;158.138;180;top
C204;0,1uF;C_0402_1005Metric;56.896;124.998;180;top
C205;0,1uF;C_0402_1005Metric;67.564;188.748;0;top
C206;0,1uF;C_0402_1005Metric;246.92;182.054;0;top
C207;0,1uF;C_0402_1005Metric;221.508;197.924;0;top
C208;0,1uF;C_0402_1005Metric;211.678;138.847;180;top
C209;0,1uF;C_0402_1005Metric;67.592;171.649;0;top
C210;0,1uF;C_0402_1005Metric;274.666;182.148;0;top
C211;0,1uF;C_0402_1005Metric;247.428;164.084;0;top
C212;0,1uF;C_0402_1005Metric;56.896;104.932;180;top
C213;1uF 10% 20V;CAPMP3216X180N;292.354;119.918;0;top
C214;1uF 10% 20V;CAPMP3216X180N;233.934;118.394;-90;top
C215;0,1uF;C_0402_1005Metric;184.174;171.889;180;top
C216;0,1uF;C_0402_1005Metric;56.388;84.87;180;top
D1;SHOTT 30V 12A;DIO_SS12P2L-M3_86A;264.6895;52.1;-90;top
D2;SHOTT 30V 12A;DIO_SS12P2L-M3_86A;282.956;62.49;0;top
D10;TVS;DPY2_TEX;288.798;36.606;0;top
D31;TVS;DPY2_TEX;39.878;87.66;-90;top
D34;TVS;DPY2_TEX;42.672;103.916;0;top
D37;TVS;DPY2_TEX;42.672;123.474;0;top
D39;TVS;DPY2_TEX;17.526;67.594;-90;top
D41;TVS;DPY2_TEX;17.78;57.563998;-90;top
D44;TVS;DPY2_TEX;249.428;208.818;90;top
D45;TVS;DPY2_TEX;277.114;208.914;90;top
D46;TVS;DPY2_TEX;249.174;192.308;90;top
D47;TVS;DPY2_TEX;17.78;47.94;-90;top
D49;TVS;DPY2_TEX;17.78;37.21;-90;top
D51;TVS;DPY2_TEX;256.54;205.866;90;top
D52;TVS;DPY2_TEX;286.004;207.644;90;top
D53;TVS;DPY2_TEX;256.794;191.546;90;top
D54;TVS;DPY2_TEX;277.114;192.054;90;top
D57;TVS;DPY2_TEX;249.428;176.656;90;top
D58;TVS;DPY2_TEX;277.368;176.464;90;top
D59;TVS;DPY2_TEX;16.022001;18.572;180;top
D60;TVS;DPY2_TEX;25.512001;18.572;180;top
D61;TVS;DPY2_TEX;34.910001;18.572;180;top
D62;TVS;DPY2_TEX;44.870001;18.572;180;top
D63;TVS;DPY2_TEX;286.258;190.53;90;top
D64;TVS;DPY2_TEX;254.604;171.48;0;top
D65;TVS;DPY2_TEX;285.496;175.29;90;top
D66;TVS;DPY2_TEX;76.962;123.22;0;top
